"CPF"|"CUSTOMER_ID"|"PERIOD_START"|"PERIOD_END"|"TIMESTAMP_REQUEST"|"DT_INI"
"00000002300"|"5f7cff8c-bb77-4c01-b849-c064b2e7b5cc"|"7/1/2026"|"8/1/2026"|"8/1/2026 7:29:25"|
"00000002400"|"5deebae6-92c6-42b7-aa26-9df86c61fc48"|"6/1/2026"|"7/31/2026"|"8/1/2026 7:39:47"|
"00000002500"|"628ebdf8-1226-4c93-bcc8-14f44e7624ca"|"7/1/2026"|"7/31/2026"|"8/1/2026 7:51:57"|
"00000002600"|"5cb7acbd-2e9f-4dd5-9103-e707eada8079"|"10/29/2024"|"8/1/2026"|"8/1/2026 8:04:50"|
"00000002600"|"5cb7acbd-2e9f-4dd5-9103-e707eada8079"|"10/29/2024"|"8/1/2026"|"8/1/2026 8:06:22"|
"00000002700"|"5dcb2ed0-21bb-45b0-af31-dba06ee9f764"|"7/22/2024"|"7/31/2026"|"8/1/2026 8:09:16"|
"00000002800"|"5ceed8fc-fc43-4018-af46-bdf3dfb13b01"|"12/7/2022"|"8/1/2026"|"8/1/2026 8:13:13"|
"00000002900"|"60364230-c5ba-474f-972d-f08924461d26"|"7/1/2026"|"8/1/2026"|"8/1/2026 8:23:24"|
"00000003000"|"5ce8a810-1f6a-4f97-8d92-45eb58293fa7"|"7/1/2026"|"8/1/2026"|"8/1/2026 8:38:10"|
"00000003100"|"5e558b71-6acd-42d1-85bd-679055885180"|"7/1/2026"|"7/31/2026"|"8/1/2026 8:41:54"|
"00000003200"|"575f1e53-9b49-4073-a2e3-e8f7094cdc26"|"1/1/2026"|"7/31/2026"|"8/1/2026 8:42:21"|
"00000003300"|"5d3b910e-3a8e-40f0-b22b-85b3426fba09"|"7/1/2026"|"8/1/2026"|"8/1/2026 9:19:31"|
"00000003400"|"5cd94b2b-8e3c-4640-8549-aa184c927edd"|"7/1/2026"|"7/31/2026"|"8/1/2026 9:20:55"|
"00000003500"|"6428da9f-1ca4-4c70-80b3-29974c3cf0f2"|"1/1/2024"|"8/1/2026"|"8/1/2026 9:27:39"|
"00000003600"|"605f9797-a41d-4e4c-8913-c7c15a899a6f"|"6/1/2026"|"7/31/2026"|"8/1/2026 9:39:44"|
"00000003600"|"605f9797-a41d-4e4c-8913-c7c15a899a6f"|"6/1/2026"|"7/31/2026"|"8/1/2026 9:40:57"|
"00000003600"|"605f9797-a41d-4e4c-8913-c7c15a899a6f"|"6/1/2026"|"7/31/2026"|"8/1/2026 9:41:34"|
"00000003701"|"6089e7a2-1ca9-42b7-9b32-f1d316160d46"|"7/25/2025"|"7/31/2026"|"8/1/2026 9:43:17"|
"00000003800"|"60dde889-c77c-4dae-a554-9305a6451668"|"6/8/2026"|"8/1/2026"|"8/1/2026 10:12:22"|
"00000003900"|"5981c682-29c0-4a9d-98d8-0d5009569ecd"|"3/2/2023"|"8/1/2026"|"8/1/2026 10:19:04"|
"00000004000"|"5ceb05b1-fb6d-45ad-ad61-033bc4702ba8"|"12/12/2023"|"8/1/2026"|"8/1/2026 10:44:23"|
"00000004100"|"5d7bde50-80a0-4fd5-a625-196470a6fb7d"|"1/1/2024"|"7/31/2026"|"8/1/2026 10:44:39"|
"00000004200"|"594d382a-cb79-4f14-a968-cf610959044e"|"8/1/2024"|"8/1/2026"|"8/1/2026 10:46:16"|
"00000004300"|"634cc0c9-24e0-4871-ac3f-b9ca551c9ea5"|"7/1/2026"|"8/1/2026"|"8/1/2026 10:47:31"|
"00000004400"|"594a7b47-1ec8-4e3d-b8f8-a3b063dad29d"|"8/1/2025"|"8/1/2026"|"8/1/2026 10:53:07"|
"00000004400"|"594a7b47-1ec8-4e3d-b8f8-a3b063dad29d"|"8/1/2025"|"8/1/2026"|"8/1/2026 10:54:31"|
"00000004500"|"640c8a1e-fc06-44df-b86f-70c1da5be035"|"2/1/2026"|"7/31/2026"|"8/1/2026 10:59:26"|
"00000004500"|"640c8a1e-fc06-44df-b86f-70c1da5be035"|"2/1/2026"|"7/31/2026"|"8/1/2026 11:01:37"|
"00000004600"|"5d5f0a7c-865b-4bae-b438-b495fede4c04"|"5/1/2026"|"6/30/2026"|"8/1/2026 11:05:51"|
"00000004700"|"594bfb95-0472-4999-99d5-d99326e16e03"|"4/1/2026"|"8/1/2026"|"8/1/2026 11:09:23"|
"00000004800"|"5fa98329-3c41-470f-ae3b-e4d297e3b0de"|"3/8/2025"|"8/1/2026"|"8/1/2026 11:18:34"|
"00000004900"|"5f580714-2fc3-4389-9d70-f8031e2e61ec"|"9/12/2023"|"8/1/2026"|"8/1/2026 11:20:01"|
"00000005000"|"60f419d6-db8c-4bad-9086-66eba243decf"|"7/1/2026"|"7/31/2026"|"8/1/2026 11:20:57"|
"00000005000"|"60f419d6-db8c-4bad-9086-66eba243decf"|"7/1/2026"|"7/31/2026"|"8/1/2026 11:22:19"|
"00000005100"|"5f2c860f-d9d6-4391-a61d-a0fd1daef944"|"6/1/2026"|"8/1/2026"|"8/1/2026 11:30:08"|
"00000005100"|"5f2c860f-d9d6-4391-a61d-a0fd1daef944"|"6/1/2026"|"8/1/2026"|"8/1/2026 11:30:41"|
"00000005200"|"5f4d5440-eb10-482d-be48-e2458e90ea19"|"4/10/2026"|"2/20/2026"|"8/1/2026 11:57:41"|
"00000005300"|"64b1a262-b99c-46c6-a05b-f1b7210ee604"|"10/24/2023"|"8/1/2026"|"8/1/2026 11:58:38"|
"00000005400"|"5cc59304-4199-41d4-abc5-3c79ead7590a"|"3/1/2026"|"7/31/2026"|"8/1/2026 12:32:46"|
"00000005500"|"5b509f52-4174-47d1-b14a-a81ca37941be"|"5/1/2026"|"7/31/2026"|"8/1/2026 12:41:34"|
"00000005600"|"60abd1b1-c936-4655-bd0d-e3b5ee0b6fcf"|"7/1/2026"|"7/31/2026"|"8/1/2026 12:41:53"|
"00000005700"|"5ab915cb-1d59-4fb9-b6fe-e9f48ea20eec"|"4/2/2024"|"8/1/2026"|"8/1/2026 12:42:12"|
"00000005500"|"5b509f52-4174-47d1-b14a-a81ca37941be"|"5/1/2026"|"7/31/2026"|"8/1/2026 12:43:01"|
"00000005800"|"5e33915a-2bfa-4a09-a714-349832116b11"|"7/1/2026"|"7/31/2026"|"8/1/2026 12:44:37"|
"00000005900"|"5e696449-018e-47b7-8652-ee4d25c690cc"|"7/1/2026"|"8/1/2026"|"8/1/2026 12:55:24"|
"00000006000"|"58d9b14b-0ef7-4e04-9099-4ef06e5667f8"|"1/1/2026"|"7/31/2026"|"8/1/2026 13:17:40"|
"00000006000"|"58d9b14b-0ef7-4e04-9099-4ef06e5667f8"|"1/1/2026"|"7/31/2026"|"8/1/2026 13:18:29"|
"00000006100"|"5934943b-7ad4-458f-a166-b459d1d60c78"|"1/1/2023"|"8/1/2026"|"8/1/2026 14:19:08"|
"00000006200"|"5c44d366-e5d5-4922-ba07-acc93e5986c6"|"8/6/2025"|"8/1/2026"|"8/1/2026 14:19:18"|
"00000006300"|"56e993c4-27ff-48fa-a5f5-963dbf1ff909"|"7/1/2026"|"7/31/2026"|"8/1/2026 14:50:13"|
"00000006400"|"5979bc18-e2e3-4beb-833c-8690557f305c"|"7/1/2026"|"7/31/2026"|"8/1/2026 15:07:17"|
"00000006400"|"5979bc18-e2e3-4beb-833c-8690557f305c"|"7/1/2026"|"7/31/2026"|"8/1/2026 15:08:14"|
"00000006500"|"5a442191-47dd-4607-ae9e-6b102fb72a87"|"7/1/2026"|"7/31/2026"|"8/1/2026 15:13:40"|
"00000006500"|"5a442191-47dd-4607-ae9e-6b102fb72a87"|"7/1/2026"|"7/31/2026"|"8/1/2026 15:15:00"|
"00000006500"|"5a442191-47dd-4607-ae9e-6b102fb72a87"|"7/1/2026"|"7/31/2026"|"8/1/2026 15:21:33"|
"00000006600"|"5c8ee17d-5536-4ab4-807d-33d121d636f0"|"7/1/2026"|"7/31/2026"|"8/1/2026 15:30:35"|
"00000006600"|"5c8ee17d-5536-4ab4-807d-33d121d636f0"|"7/1/2026"|"7/31/2026"|"8/1/2026 15:33:51"|
"00000006600"|"5c8ee17d-5536-4ab4-807d-33d121d636f0"|"7/1/2026"|"7/31/2026"|"8/1/2026 15:36:18"|
"00000006700"|"5e873a1c-b955-498d-a42d-b9a8ba643c6b"|"1/1/2026"|"8/1/2026"|"8/1/2026 15:42:18"|
"00000006700"|"5e873a1c-b955-498d-a42d-b9a8ba643c6b"|"1/1/2026"|"8/1/2026"|"8/1/2026 15:44:00"|
"00000006700"|"5e873a1c-b955-498d-a42d-b9a8ba643c6b"|"1/1/2026"|"8/1/2026"|"8/1/2026 15:45:29"|
"00000006700"|"5e873a1c-b955-498d-a42d-b9a8ba643c6b"|"1/1/2026"|"8/1/2026"|"8/1/2026 15:47:01"|
"00000006700"|"5e873a1c-b955-498d-a42d-b9a8ba643c6b"|"1/1/2026"|"8/1/2026"|"8/1/2026 15:48:54"|
"00000006700"|"5e873a1c-b955-498d-a42d-b9a8ba643c6b"|"1/1/2026"|"8/1/2026"|"8/1/2026 15:49:42"|
"00000006800"|"5f366ade-c985-4825-9b4b-ebb079dcb623"|"9/5/2025"|"8/1/2026"|"8/1/2026 15:51:18"|
"00000006900"|"5d82d2d8-bf13-4565-a550-f4d1dddee39b"|"1/1/2026"|"8/1/2026"|"8/1/2026 15:57:40"|
"00000006900"|"5d82d2d8-bf13-4565-a550-f4d1dddee39b"|"1/1/2026"|"8/1/2026"|"8/1/2026 15:58:19"|
"00000007000"|"59fa708e-d83d-4b13-aa7c-c37b4e4b2ba0"|"7/1/2025"|"7/31/2026"|"8/1/2026 16:09:42"|
"00000007100"|"6737d1ee-6d80-4b92-9dcb-3370d6b5dcd9"|"2/26/2025"|"8/1/2026"|"8/1/2026 16:39:26"|
"00000007200"|"5fbd2fd1-f334-4bfa-9fd3-4f4938654af7"|"1/1/2026"|"7/31/2026"|"8/1/2026 16:59:46"|
"00000007300"|"65c3e4f5-efa4-4763-af17-271cc421ae44"|"5/1/2026"|"8/1/2026"|"8/1/2026 17:06:36"|
"00000007400"|"642e1a3b-1ef4-4741-ad8d-d36a8404539d"|"7/1/2026"|"8/1/2026"|"8/1/2026 17:31:28"|
"00000007100"|"6737d1ee-6d80-4b92-9dcb-3370d6b5dcd9"|"2/26/2025"|"8/1/2026"|"8/1/2026 17:32:15"|
"00000007500"|"64d65b69-e301-482d-8f37-1d178f2157ee"|"8/1/2025"|"8/1/2026"|"8/1/2026 17:40:21"|
"00000005300"|"64b1a262-b99c-46c6-a05b-f1b7210ee604"|"10/24/2023"|"8/1/2026"|"8/1/2026 17:56:27"|
"00000007600"|"5cbfca1f-8d9f-4c7c-b854-bc153a7810da"|"7/1/2026"|"7/31/2026"|"8/1/2026 17:58:17"|
"00000007700"|"5f2b7c91-7f62-47d1-bd84-be5bf2706302"|"1/1/2024"|"8/1/2026"|"8/1/2026 18:12:48"|
"00000007800"|"5c374c45-7b75-47ba-ba44-95ed49fc150b"|"7/1/2026"|"7/31/2026"|"8/1/2026 18:35:15"|
"00000007800"|"5c374c45-7b75-47ba-ba44-95ed49fc150b"|"7/1/2026"|"7/31/2026"|"8/1/2026 18:36:06"|
"00000007900"|"5d606d5e-a5af-4cbe-a8af-7c645ca836de"|"4/1/2026"|"7/31/2026"|"8/1/2026 19:38:06"|
"00000008000"|"57e828d1-802a-4a64-85f8-9c71a9ecf3f9"|"6/1/2026"|"8/31/2026"|"8/1/2026 19:40:26"|
"00000008100"|"5e1f26f3-4933-446a-b2b4-75cc2f0cf791"|"5/1/2026"|"8/1/2026"|"8/1/2026 20:19:20"|
"00000008200"|"5c00007c-86f1-4348-bbf0-0b23a768dd81"|"2/1/2026"|"8/1/2026"|"8/1/2026 20:39:11"|
"00000008200"|"5c00007c-86f1-4348-bbf0-0b23a768dd81"|"2/1/2026"|"8/1/2026"|"8/1/2026 20:40:15"|
"00000008300"|"611ee95a-67f8-46b2-8977-4d319159a9ae"|"10/24/2023"|"8/1/2026"|"8/1/2026 22:29:18"|
"00000008400"|"5fd8d43a-d88e-4c33-9015-18217f739a6a"|"7/1/2026"|"7/31/2026"|"8/1/2026 22:40:52"|
"00000008500"|"5c2f7f4b-4b28-4e8e-a9e3-0ef513080a07"|"6/1/2026"|"7/31/2026"|"8/2/2026 3:01:16"|
"00000008600"|"586adfc9-a478-4075-b85a-274acbb34199"|"10/24/2023"|"8/1/2026"|"8/2/2026 7:31:08"|
"00000008700"|"5dfd32ed-71b2-4356-8c63-8a90efdeb468"|"6/2/2025"|"7/31/2026"|"8/2/2026 7:50:07"|
"00000008800"|"65936442-2e67-4c5c-84df-dcadd6c8d7bd"|"8/1/2026"|"8/1/2026"|"8/2/2026 8:13:06"|
"00000008900"|"69da7e8f-1e9f-4306-8553-b0550d321870"|"4/24/2026"|"8/2/2026"|"8/2/2026 8:24:24"|
"00000003200"|"575f1e53-9b49-4073-a2e3-e8f7094cdc26"|"1/1/2026"|"8/2/2026"|"8/2/2026 8:48:59"|
"00000003200"|"575f1e53-9b49-4073-a2e3-e8f7094cdc26"|"1/1/2026"|"8/2/2026"|"8/2/2026 8:50:11"|
"00000009000"|"5c07c9f9-bf32-4495-a733-65cb0b043038"|"1/1/2025"|"8/1/2026"|"8/2/2026 9:01:44"|
"00000009100"|"5fdb7252-c18c-4004-b2d2-69f03d524ce0"|"7/1/2026"|"7/31/2026"|"8/2/2026 9:21:41"|
"00000009100"|"5fdb7252-c18c-4004-b2d2-69f03d524ce0"|"1/1/2026"|"7/31/2026"|"8/2/2026 9:24:24"|
"00000009200"|"5eb346bc-7e71-4892-8c57-9a69632fc6bb"|"6/3/2025"|"7/28/2026"|"8/2/2026 10:10:15"|
"00000009301"|"58f7d1c6-584e-48ae-9edb-6e3954135a65"|"12/1/2025"|"8/2/2026"|"8/2/2026 10:11:13"|
"00000009400"|"5d6be908-959f-48ac-9f3e-83044e28e760"|"7/1/2026"|"7/31/2026"|"8/2/2026 10:35:02"|
"00000009500"|"5d6530bd-1daf-49cb-8519-fb6225f16363"|"7/1/2026"|"7/31/2026"|"8/2/2026 10:40:01"|
"00000009600"|"66e8da68-709d-49cc-a9cb-cffede8aa429"|"7/1/2026"|"7/31/2026"|"8/2/2026 10:40:44"|
"00000009500"|"5d6530bd-1daf-49cb-8519-fb6225f16363"|"7/1/2026"|"7/31/2026"|"8/2/2026 10:41:06"|
"00000009600"|"66e8da68-709d-49cc-a9cb-cffede8aa429"|"8/1/2026"|"8/1/2026"|"8/2/2026 10:42:44"|
"00000009700"|"5df293e4-fd96-427b-802b-fbdfe8f5b552"|"6/19/2024"|"7/31/2026"|"8/2/2026 10:53:28"|
"00000009800"|"5e5270e6-9568-406d-a1ee-9fe9a125a32c"|"7/1/2024"|"7/31/2026"|"8/2/2026 11:14:02"|
"00000009900"|"6258a4f2-265d-4918-b043-921a927f1bb0"|"5/1/2026"|"8/1/2026"|"8/2/2026 11:26:36"|
"00000010000"|"5c30d7a2-6cf8-451d-820f-12b2b71c346a"|"1/1/2026"|"8/2/2026"|"8/2/2026 11:28:42"|
"00000010100"|"5c4633dd-571f-42b1-b360-2c3ab36b2e71"|"7/1/2026"|"8/2/2026"|"8/2/2026 11:36:12"|
"00000010200"|"632f1827-3eab-4d76-a380-765c4b1deec5"|"4/1/2026"|"7/31/2026"|"8/2/2026 12:17:24"|
"00000010000"|"5c30d7a2-6cf8-451d-820f-12b2b71c346a"|"1/1/2026"|"8/1/2026"|"8/2/2026 12:37:19"|
"00000010300"|"61b0f952-2a72-4626-9cfd-d3d3d857b42b"|"7/1/2026"|"8/2/2026"|"8/2/2026 12:48:25"|
"00000010400"|"663a5f4a-15fc-4af2-a20e-555af8cfa0e7"|"7/1/2026"|"8/2/2026"|"8/2/2026 12:51:39"|
"00000010400"|"663a5f4a-15fc-4af2-a20e-555af8cfa0e7"|"6/1/2026"|"6/30/2026"|"8/2/2026 12:54:34"|
"00000007100"|"6737d1ee-6d80-4b92-9dcb-3370d6b5dcd9"|"7/1/2026"|"7/1/2026"|"8/2/2026 12:55:59"|
"00000010500"|"60fbffe9-081b-4ebf-a672-0abd4d710f74"|"7/30/2026"|"8/2/2026"|"8/2/2026 13:21:08"|
"00000010600"|"5ba5b01a-58fc-43c7-8e18-c92d677c55e9"|"5/1/2026"|"7/31/2026"|"8/2/2026 13:35:22"|
"00000010700"|"5cb3bac3-7c10-4fd8-ad77-0906a32d5332"|"12/1/2024"|"8/2/2026"|"8/2/2026 13:36:44"|
"00000010800"|"629df068-8617-4085-86b8-9a118a4cdc2f"|"8/2/2024"|"8/2/2026"|"8/2/2026 14:43:33"|
"00000010900"|"5d917701-ed75-48d2-991c-991fc5792798"|"5/1/2026"|"8/2/2026"|"8/2/2026 14:50:39"|
"00000011000"|"618d34e0-5110-4bb7-9177-f15bafcbe454"|"1/1/2026"|"7/31/2026"|"8/2/2026 15:07:50"|
"00000011000"|"618d34e0-5110-4bb7-9177-f15bafcbe454"|"1/1/2026"|"7/31/2026"|"8/2/2026 15:09:04"|
"00000011100"|"698faa0a-1beb-4bbc-ace5-b5c842151289"|"5/1/2026"|"7/31/2026"|"8/2/2026 15:15:45"|
"00000011200"|"5c48a171-4a79-4d01-85be-a037d094b17c"|"7/1/2026"|"7/31/2026"|"8/2/2026 15:50:59"|
"00000011300"|"61d7772d-19be-4b0f-b39b-ed2e5ee49786"|"1/1/2026"|"1/1/2026"|"8/2/2026 16:00:00"|
"00000011400"|"5e66c303-f210-4204-b9c8-a7a480c4f423"|"7/1/2024"|"7/31/2026"|"8/2/2026 16:03:57"|
"00000011500"|"61c122a7-6eec-4325-916f-43c1e4af7885"|"4/23/2026"|"8/1/2026"|"8/2/2026 16:26:11"|
"00000011500"|"61c122a7-6eec-4325-916f-43c1e4af7885"|"4/23/2026"|"6/8/2026"|"8/2/2026 16:28:10"|
"00000011600"|"61d5fa00-8500-455b-9d2a-45aaa07e88d6"|"8/28/2023"|"8/2/2026"|"8/2/2026 16:48:29"|
"00000011700"|"5c1eadc2-d7ba-4c1e-9c0a-26c7fd79ff59"|"6/1/2026"|"7/31/2026"|"8/2/2026 17:57:47"|
"00000011801"|"5729e5b7-44a8-41d9-bf2e-17732b78882c"|"1/1/2026"|"8/1/2026"|"8/2/2026 18:33:38"|
"00000011900"|"5c55b516-4939-40f2-bc03-82f7429c908c"|"7/1/2026"|"7/31/2026"|"8/2/2026 18:41:29"|
"00000012000"|"581a0890-1548-4d67-a6ee-01d9f41293de"|"12/30/2023"|"8/1/2026"|"8/2/2026 18:58:18"|
"00000012100"|"58dd8cbc-8a63-45ba-9ef1-819c152705ed"|"7/1/2026"|"8/1/2026"|"8/2/2026 19:11:23"|
"00000012200"|"5d59ed83-e24f-44a2-b4b8-244fe738dcb0"|"1/1/2026"|"6/30/2026"|"8/2/2026 19:11:59"|
"00000012300"|"5c459dfb-33af-4c79-8e96-4a29d4c1ce2d"|"7/1/2025"|"8/1/2026"|"8/2/2026 19:36:30"|
"00000012400"|"5cc86bcc-8ef9-4f94-8f36-5bd05f44280e"|"5/1/2026"|"7/31/2026"|"8/2/2026 20:09:36"|
"00000012500"|"5d305b3b-4d02-4d01-ab23-7321b219119a"|"6/1/2026"|"8/2/2026"|"8/2/2026 20:20:31"|
"00000012600"|"64ab66b6-9cd6-4c88-be70-678e9042b905"|"5/1/2026"|"7/31/2026"|"8/2/2026 20:41:57"|
"00000012700"|"5bbeb057-dc56-459a-9bac-0b37b92c2493"|"8/1/2024"|"8/2/2026"|"8/2/2026 21:02:49"|
"00000012800"|"5f3e5e54-48e9-4968-8af2-345f353faea0"|"1/1/2026"|"7/31/2026"|"8/2/2026 21:51:56"|
"00000012800"|"5f3e5e54-48e9-4968-8af2-345f353faea0"|"1/1/2026"|"7/31/2026"|"8/2/2026 21:53:35"|
"00000012900"|"65919079-4bd1-4a5b-91d3-1836558fde25"|"7/23/2026"|"8/2/2026"|"8/2/2026 22:31:26"|
"00000013000"|"5d098f8e-3a96-4913-87f4-78657cb8a9d8"|"1/1/2026"|"8/2/2026"|"8/2/2026 22:58:16"|
"00000013000"|"5d098f8e-3a96-4913-87f4-78657cb8a9d8"|"1/1/2026"|"8/2/2026"|"8/2/2026 22:59:22"|
"00000013000"|"5d098f8e-3a96-4913-87f4-78657cb8a9d8"|"1/1/2026"|"8/2/2026"|"8/2/2026 23:00:22"|
"00000013100"|"5c716a3a-1320-4dc9-a0c9-554d97a1f4db"|"7/1/2026"|"7/31/2026"|"8/3/2026 1:11:50"|
"00000013200"|"669af82e-e647-4839-9400-0576145880db"|"1/1/2026"|"7/31/2026"|"8/3/2026 1:14:09"|
"00000013300"|"5ed8fa1b-1352-4ecb-b83b-a0d9ce865d0c"|"4/1/2026"|"5/30/2026"|"8/3/2026 7:59:13"|
"00000013400"|"58b8d5f3-d878-4baf-8495-89a051494349"|"7/1/2026"|"8/3/2026"|"8/3/2026 8:03:10"|
"00000013500"|"5fcec66d-6767-4dfb-afc2-4eeb2194374c"|"1/1/2024"|"7/31/2026"|"8/3/2026 8:12:32"|
"00000013600"|"63a10322-1b2e-45e9-b636-fcbb95278c69"|"3/1/2026"|"7/31/2026"|"8/3/2026 8:14:29"|
"00000013700"|"55e9f810-ac44-4459-ab89-6e59431ddf6a"|"7/1/2026"|"7/31/2026"|"8/3/2026 8:17:47"|
"00000000900"|"57dac46e-8324-4e7e-89f4-1dbaeea63548"|"5/1/2026"|"7/31/2026"|"8/3/2026 8:25:39"|
"00000013800"|"598f44f1-9dd2-4172-be87-672b208af469"|"1/12/2023"|"8/1/2026"|"8/3/2026 8:44:45"|
"00000013900"|"5d9a77ee-6f24-4b5e-ad94-52a82dc4f5a5"|"10/15/2023"|"8/1/2026"|"8/3/2026 8:46:57"|
"00000014000"|"634078e1-903e-4cbc-8100-b958a56e0c0e"|"1/31/2024"|"7/31/2026"|"8/3/2026 8:48:34"|
"00000003000"|"5ce8a810-1f6a-4f97-8d92-45eb58293fa7"|"8/5/2024"|"8/2/2026"|"8/3/2026 8:55:37"|
"00000014100"|"55afdad8-0322-4032-b896-1b2a86e22ed0"|"1/1/2026"|"8/3/2026"|"8/3/2026 9:09:09"|
"00000014200"|"6839972e-369e-441e-b28d-e48a8c702036"|"7/1/2026"|"7/31/2026"|"8/3/2026 9:25:09"|
"00000014300"|"68331862-1c58-4865-8c6e-d8ce5fefd590"|"1/1/2026"|"8/3/2026"|"8/3/2026 9:32:49"|
"00000014400"|"5d901b07-2929-4084-baca-79a4c8a983f4"|"7/1/2025"|"8/3/2026"|"8/3/2026 9:45:20"|
"00000014500"|"5e93affe-b311-491d-8b9a-a07bac225255"|"4/14/2025"|"8/3/2026"|"8/3/2026 9:47:45"|
"00000014600"|"6143731b-0950-427e-a86d-665eeee50515"|"2/1/2026"|"8/3/2026"|"8/3/2026 9:51:32"|
"00000014700"|"5c3ca6b8-2063-48c4-9c58-3d0738426094"|"5/1/2026"|"8/2/2026"|"8/3/2026 9:55:01"|
"00000014700"|"5c3ca6b8-2063-48c4-9c58-3d0738426094"|"5/1/2026"|"8/2/2026"|"8/3/2026 9:56:04"|
"00000014700"|"5c3ca6b8-2063-48c4-9c58-3d0738426094"|"5/1/2026"|"8/2/2026"|"8/3/2026 9:57:18"|
"00000014700"|"5c3ca6b8-2063-48c4-9c58-3d0738426094"|"5/1/2026"|"8/2/2026"|"8/3/2026 9:58:01"|
"00000014800"|"55f45c2d-1720-4aba-be6a-c563c533629d"|"1/1/2026"|"8/2/2026"|"8/3/2026 9:58:13"|
"00000014900"|"61f40d66-aa4f-4416-8997-445004e18841"|"4/1/2026"|"7/31/2026"|"8/3/2026 10:11:03"|
"00000015000"|"5f3be706-451b-4aa9-8b52-bc6d306533a8"|"5/1/2026"|"8/3/2026"|"8/3/2026 10:36:21"|
"00000015100"|"58acd4f1-9297-4f85-878c-1c5c83c18ceb"|"3/6/2024"|"8/3/2026"|"8/3/2026 10:43:09"|
"00000015200"|"5d4dde0f-15d3-4436-920d-b0a23e8ae71c"|"7/1/2026"|"8/3/2026"|"8/3/2026 10:49:50"|
"00000015300"|"66a53c09-5f3d-4dd0-a93e-3094974b9fcc"|"7/1/2026"|"8/3/2026"|"8/3/2026 10:58:26"|
"00000015400"|"65986069-11d8-429c-b74c-ddc40d0eac54"|"8/2/2024"|"8/3/2026"|"8/3/2026 11:03:39"|
"00000002600"|"5cb7acbd-2e9f-4dd5-9103-e707eada8079"|"1/1/2026"|"8/3/2026"|"8/3/2026 11:10:53"|
"00000002600"|"5cb7acbd-2e9f-4dd5-9103-e707eada8079"|"1/1/2026"|"8/3/2026"|"8/3/2026 11:11:58"|
"00000015500"|"5fe0f448-cb6c-43cb-9743-977900cf456f"|"5/13/2026"|"8/3/2026"|"8/3/2026 11:26:37"|
"00000015600"|"6844c6af-27ae-47e3-ac41-42bbeaefd5fa"|"5/11/2026"|"8/3/2026"|"8/3/2026 11:26:50"|
